PSA_Grade,Image_URL
9,https://i.ebayimg.com/images/g/EXEAAeSw9EVo6o~d/s-l225.jpg
10,https://i.ebayimg.com/images/g/mq0AAeSw5O1pJoH4/s-l225.jpg
10,https://i.ebayimg.com/images/g/kaIAAeSwPGtpJoHv/s-l225.jpg
10,https://i.ebayimg.com/images/g/~OQAAeSwDCxpdS58/s-l225.jpg
10,https://i.ebayimg.com/images/g/AHAAAeSwR8tpYAfM/s-l225.jpg
10,https://i.ebayimg.com/images/g/TvcAAeSwvthpRE-i/s-l225.jpg
10,https://i.ebayimg.com/images/g/LBQAAeSwHOFpS53K/s-l225.jpg
9,https://i.ebayimg.com/images/g/oJwAAeSw7H5o6XVm/s-l225.jpg
10,https://i.ebayimg.com/images/g/~EEAAeSwGJZpdXVq/s-l225.jpg
9,https://i.ebayimg.com/images/g/CyMAAeSwlRFpUtr-/s-l225.jpg
8,https://i.ebayimg.com/images/g/bekAAeSwsVVpdUR4/s-l225.jpg
8,https://i.ebayimg.com/images/g/XOwAAeSwSj9pNglB/s-l225.jpg
9,https://i.ebayimg.com/images/g/1WsAAeSw1-tpZEFH/s-l225.jpg
9,https://i.ebayimg.com/images/g/Ik0AAeSwGfBpUHCp/s-l225.jpg
9,https://i.ebayimg.com/images/g/7ukAAOSw~1RiIaeW/s-l225.jpg
9,https://i.ebayimg.com/images/g/YRwAAeSwRJZpWrG2/s-l225.jpg
9,https://i.ebayimg.com/images/g/PqsAAeSwoO5pUg-F/s-l225.jpg
9,https://i.ebayimg.com/images/g/~UsAAeSw1lVpdXBd/s-l225.jpg
10,https://i.ebayimg.com/images/g/Qe8AAOSwcR1mNYku/s-l225.jpg
10,https://i.ebayimg.com/images/g/ISoAAeSw2gBpSGWv/s-l225.jpg
8,https://i.ebayimg.com/images/g/5ZgAAeSwDeJpdYJ-/s-l225.jpg
10,https://i.ebayimg.com/images/g/UGMAAeSwAJBoQZT6/s-l225.jpg
10,https://i.ebayimg.com/images/g/RH0AAeSwUnlpdFlX/s-l225.jpg
9,https://i.ebayimg.com/images/g/8dAAAeSwnuxpcSUS/s-l225.jpg
9,https://i.ebayimg.com/images/g/BvUAAOSwe3Zlz~18/s-l225.jpg
10,https://i.ebayimg.com/images/g/UTgAAeSwfw9oYx~J/s-l225.jpg
3,https://i.ebayimg.com/images/g/Eg8AAeSwRytpdXf9/s-l225.jpg
10,https://i.ebayimg.com/images/g/gjcAAeSwxBZpdZ3K/s-l225.jpg
10,https://i.ebayimg.com/images/g/cPQAAeSwvkVpdZIf/s-l225.jpg
8,https://i.ebayimg.com/images/g/~7AAAeSwSB5pdYOM/s-l225.jpg
10,https://i.ebayimg.com/images/g/cJsAAeSwOippRES9/s-l225.jpg
10,https://i.ebayimg.com/images/g/8TUAAeSwZjppRE7M/s-l225.jpg
10,https://i.ebayimg.com/images/g/jR8AAeSw1iVpdZ25/s-l225.jpg
10,https://i.ebayimg.com/images/g/ukQAAOSwvRhnB3BE/s-l225.jpg
10,https://i.ebayimg.com/images/g/gdAAAeSwc91pdZnw/s-l225.jpg
10,https://i.ebayimg.com/images/g/sAUAAeSw0PVpdZOP/s-l225.jpg
9,https://i.ebayimg.com/images/g/3yUAAeSwvOBpdQRc/s-l225.jpg
10,https://i.ebayimg.com/images/g/x~YAAeSwvQhpRE9E/s-l225.jpg
8,https://i.ebayimg.com/images/g/Ql0AAeSwvcFpdYWa/s-l225.jpg
10,https://i.ebayimg.com/images/g/NOwAAeSwXAJpdZ6o/s-l225.jpg
9,https://i.ebayimg.com/images/g/sTMAAeSw8nNpdQPU/s-l225.jpg
9,https://i.ebayimg.com/images/g/-nQAAeSwGlRoacbT/s-l225.jpg
10,https://i.ebayimg.com/images/g/ESkAAeSw1lVpdXcQ/s-l225.jpg
7,https://i.ebayimg.com/images/g/DRkAAeSwhY5pZDA9/s-l225.jpg
9,https://i.ebayimg.com/images/g/pmEAAeSwIW5pWtJc/s-l225.jpg
10,https://i.ebayimg.com/images/g/nYQAAeSwvgNpRWxQ/s-l225.jpg
9,https://i.ebayimg.com/images/g/W4gAAeSwO8ZpdZT9/s-l225.jpg
6,https://i.ebayimg.com/images/g/zVoAAeSwQAVpdWdz/s-l225.jpg
10,https://i.ebayimg.com/images/g/B2sAAeSwgqhpdY-e/s-l225.jpg
10,https://i.ebayimg.com/images/g/4TwAAeSwo-Vpb7Kj/s-l225.jpg
8,https://i.ebayimg.com/images/g/V1wAAeSwmZNpdZma/s-l225.jpg
10,https://i.ebayimg.com/images/g/PRYAAeSw-ghpdZyV/s-l225.jpg
10,https://i.ebayimg.com/images/g/gH0AAeSw9aBpdZmE/s-l225.jpg
10,https://i.ebayimg.com/images/g/XisAAeSwH35pdY9U/s-l225.jpg
10,https://i.ebayimg.com/images/g/RyUAAeSw9lhpdZUL/s-l225.jpg
1,https://i.ebayimg.com/images/g/fs0AAeSwZ3hpdZjp/s-l225.jpg
10,https://i.ebayimg.com/images/g/tpYAAOSwm7Zn2jKa/s-l225.jpg
3,https://i.ebayimg.com/images/g/FzcAAeSwRFVpdX1A/s-l225.jpg
10,https://i.ebayimg.com/images/g/jHsAAeSwPpJpN8sY/s-l225.jpg
10,https://i.ebayimg.com/images/g/1XwAAeSwkUtpbXEX/s-l225.jpg
7,https://i.ebayimg.com/images/g/04MAAeSwGL5pdWue/s-l225.jpg
10,https://i.ebayimg.com/images/g/fqAAAeSwgdNpdY9v/s-l225.jpg
10,https://i.ebayimg.com/images/g/brwAAOSwrI1nLPE7/s-l225.jpg
9,https://i.ebayimg.com/images/g/bgkAAeSwBk1pdV1w/s-l225.jpg
9,https://i.ebayimg.com/images/g/C84AAeSwzFVpcV1k/s-l225.jpg
10,https://i.ebayimg.com/images/g/WugAAeSwZappZp1h/s-l225.jpg
10,https://i.ebayimg.com/images/g/v40AAeSwku5pdUUC/s-l225.jpg
10,https://i.ebayimg.com/images/g/imsAAeSwYAVpdZ1n/s-l225.jpg
10,https://i.ebayimg.com/images/g/gT8AAeSwN2RpLMx3/s-l225.jpg
10,https://i.ebayimg.com/images/g/K50AAeSwg~hpdZpH/s-l225.jpg
7,https://i.ebayimg.com/images/g/MMwAAeSwc7ppdW7Q/s-l225.jpg
8,https://i.ebayimg.com/images/g/5SkAAeSwsaZpdWrZ/s-l225.jpg
8,https://i.ebayimg.com/images/g/iqkAAeSwku5pdX0h/s-l225.jpg
9,https://i.ebayimg.com/images/g/4hkAAeSwDIVpUF9u/s-l225.jpg
9,https://i.ebayimg.com/images/g/N3cAAeSw-JdpdYEI/s-l225.jpg
9,https://i.ebayimg.com/images/g/83oAAOSwD6JiZbku/s-l225.jpg
9,https://i.ebayimg.com/images/g/4u4AAeSw5XJpdX6d/s-l225.jpg
10,https://i.ebayimg.com/images/g/KSEAAeSwDslpdZ2P/s-l225.jpg
8,https://i.ebayimg.com/images/g/lDsAAeSw61BpdXWA/s-l225.jpg
4,https://i.ebayimg.com/images/g/xqgAAeSwXflpdXTM/s-l225.jpg
9,https://i.ebayimg.com/images/g/K5YAAeSw1cFpdX~c/s-l225.jpg
7,https://i.ebayimg.com/images/g/zTEAAeSwsfJpdWLv/s-l225.jpg
8,https://i.ebayimg.com/images/g/uy0AAeSwdyZpdXMG/s-l225.jpg
5,https://i.ebayimg.com/images/g/huYAAeSwwJdpdXFK/s-l225.jpg
